number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.9413205046704964,2026-04-09 10:27:20.581762,2026-04-09 10:27:21.552548,0 days 00:00:00.970786,0.49359671220172163,1,0.4936111842654619,0.22648248189516842,120,800,230,0.6245760287469887,0.002570603566117596,COMPLETE
1,0.9427794460955912,2026-04-09 10:27:21.552908,2026-04-09 10:27:34.557750,0 days 00:00:13.004842,0.5090949803242604,2,0.5274034664069657,0.001124579825911934,170,1450,300,5.472429642032189e-06,0.00052821153945323,COMPLETE
2,0.9335409788745146,2026-04-09 10:27:34.559042,2026-04-09 10:28:03.595160,0 days 00:00:29.036118,0.6198171059762151,5,0.575286789121131,0.005265139631677754,30,900,190,0.11656915613247415,6.267062696005991e-07,COMPLETE
3,0.9448120735874425,2026-04-09 10:28:03.596436,2026-04-09 10:28:06.445568,0 days 00:00:02.849132,0.43903095579116774,10,0.502314474212375,0.029341527565000736,130,1100,30,4.905556676028766,0.1886149587855396,COMPLETE
4,0.9420505379303258,2026-04-09 10:28:06.445890,2026-04-09 10:28:11.918029,0 days 00:00:05.472139,0.6971061460667621,1,0.47322294090686734,0.0017456037635797405,90,650,210,1.5271567592511939,2.133142332373e-06,COMPLETE
5,0.9439066144301135,2026-04-09 10:28:11.919280,2026-04-09 10:28:27.795043,0 days 00:00:15.875763,0.9817507766587351,8,0.5109126733153162,0.005917607170144194,110,1350,170,2.8542399074977594,1.1309571585271492,COMPLETE
6,0.9416054101914766,2026-04-09 10:28:27.796320,2026-04-09 10:28:28.778414,0 days 00:00:00.982094,0.5951981984579586,4,0.4271363733463229,0.19212959255386386,40,1250,40,2.7678419414850017e-06,0.287499823474079,COMPLETE
7,0.9368475677637068,2026-04-09 10:28:28.778710,2026-04-09 10:28:44.860034,0 days 00:00:16.081324,0.44473038620786254,10,0.8813181884524238,0.0049648810171066555,30,750,170,0.08916674715636552,6.143857495033091e-07,COMPLETE
8,0.9412220814394792,2026-04-09 10:28:44.861339,2026-04-09 10:28:45.672940,0 days 00:00:00.811601,0.44442679104045424,4,0.8627622080115674,0.10471209213501693,150,100,220,1.1036250149900698e-07,0.5860448217200526,COMPLETE
9,0.94334781345468,2026-04-09 10:28:45.673262,2026-04-09 10:28:54.892630,0 days 00:00:09.219368,0.8377637070028384,7,0.5951099932160483,0.006601984958164864,70,1300,30,0.9658611176861261,0.0001778010520878397,COMPLETE
10,0.9388355374572523,2026-04-09 10:28:54.893455,2026-04-09 10:28:57.693956,0 days 00:00:02.800501,0.8141482441414871,10,0.7114864019556889,0.04073819616959591,190,1900,90,0.0025074987853267315,0.008349484536843158,COMPLETE
11,0.9453207450357349,2026-04-09 10:28:57.694239,2026-04-09 10:29:03.498972,0 days 00:00:05.804733,0.9747857049445863,8,0.7021766181208007,0.02058712339938166,120,1750,110,8.287201934873071,9.710662705281724,COMPLETE
12,0.9398182456945368,2026-04-09 10:29:03.500242,2026-04-09 10:29:08.564745,0 days 00:00:05.064503,0.9525624712167782,8,0.7409746660271866,0.026123374183389562,140,1900,100,0.0030371268467802204,8.293752538812425,COMPLETE
13,0.9448263950806317,2026-04-09 10:29:08.565031,2026-04-09 10:29:10.484717,0 days 00:00:01.919686,0.7915093847851775,9,0.647441902153615,0.05484470775341641,90,1650,110,9.489354947729776,0.024800628752107357,COMPLETE
14,0.936597215337234,2026-04-09 10:29:10.485522,2026-04-09 10:29:12.967284,0 days 00:00:02.481762,0.8629701236090173,7,0.7914594832900397,0.07424373481500367,80,1750,130,0.015936847132187043,0.022097530571713292,COMPLETE
15,0.9462000808660502,2026-04-09 10:29:12.967565,2026-04-09 10:29:14.413962,0 days 00:00:01.446397,0.9037971072017885,8,0.6346657131440613,0.07093812272415742,70,1600,80,9.733714050698767,1.614930762991575e-05,COMPLETE
16,0.9355988801556163,2026-04-09 10:29:14.414239,2026-04-09 10:29:22.718223,0 days 00:00:08.303984,0.9157899251173308,6,0.6439513223260515,0.010789369423401519,10,1550,70,3.154443500139822e-05,1.314053143275926e-08,COMPLETE
17,0.9334187760334356,2026-04-09 10:29:22.719048,2026-04-09 10:29:30.362700,0 days 00:00:07.643652,0.9989155282895409,8,0.8138046551270606,0.018126193069302503,60,2000,140,2.1219899323605756e-08,3.594823812694944e-05,COMPLETE
18,0.9399319267417301,2026-04-09 10:29:30.362978,2026-04-09 10:29:31.759185,0 days 00:00:01.396207,0.7549106025974356,6,0.6609306330829914,0.13499138321744025,160,450,70,0.00022163473160045685,9.140064229888944e-06,COMPLETE
19,0.9375146180130296,2026-04-09 10:29:31.759978,2026-04-09 10:29:37.791775,0 days 00:00:06.031797,0.9049081100515242,9,0.7601245450791162,0.013892954071144777,50,1700,60,0.10250164546279703,2.455918006464903e-08,COMPLETE
20,0.9393171698117704,2026-04-09 10:29:37.792096,2026-04-09 10:29:40.369286,0 days 00:00:02.577190,0.9031522400235494,7,0.9820461564064633,0.06345529350477357,100,1100,130,0.008225723319543179,0.00010413311631145455,COMPLETE
21,0.9437198930985193,2026-04-09 10:29:40.369682,2026-04-09 10:29:43.513513,0 days 00:00:03.143831,0.7666029198267705,9,0.6579847353498133,0.04964387531611305,90,1600,100,6.731443399710519,8.911747536355048,COMPLETE
22,0.944348400693556,2026-04-09 10:29:43.513794,2026-04-09 10:29:44.800640,0 days 00:00:01.286846,0.7885447070929985,9,0.595816074169769,0.1091803053930254,110,1750,110,9.489175007246143,0.05632384956608631,COMPLETE
23,0.9388336498227625,2026-04-09 10:29:44.800928,2026-04-09 10:29:49.321764,0 days 00:00:04.520836,0.6956040656844645,8,0.6773634222479371,0.029029130869285734,70,1500,140,0.21549895303348407,0.0020125247384845967,COMPLETE
24,0.935500752464743,2026-04-09 10:29:49.322143,2026-04-09 10:29:50.642065,0 days 00:00:01.319922,0.8563623950842424,9,0.6057513413855059,0.2989980861434751,100,1800,80,0.47500030581963126,1.8898606990715845,COMPLETE
25,0.94214034429899,2026-04-09 10:29:50.642368,2026-04-09 10:29:51.902161,0 days 00:00:01.259793,0.920455098646348,7,0.7029827794067747,0.07457731701034652,120,2000,50,0.04504783737032524,1.7992826684111973e-05,COMPLETE
