feature,importance_pct
euribor3m,21.65
duration,20.09
age,14.39
month,7.63
cons.price.idx,6.02
education,5.1
day_of_week,4.87
campaign,4.73
emp.var.rate,4.28
pdays,3.52
poutcome,2.7
nr.employed,2.6
contact,1.1
default,1.0
previous,0.33
