threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.78,0.9013,0.8115,0.1594,0.9953,0.2665,0.1547,122,0.0221
0.79,0.9005,0.8214,0.1481,0.9959,0.251,0.1441,112,0.0203
0.8,0.8998,0.8208,0.1401,0.9961,0.2393,0.1362,106,0.0192
0.81,0.8978,0.8065,0.1208,0.9963,0.2101,0.1171,93,0.0169
0.82,0.8962,0.7927,0.1047,0.9965,0.1849,0.1012,82,0.0149
0.83,0.8945,0.7671,0.0902,0.9965,0.1614,0.0867,73,0.0132
0.84,0.8935,0.7705,0.0757,0.9971,0.1378,0.0728,61,0.0111
0.85,0.8929,0.7885,0.066,0.9978,0.1218,0.0638,52,0.0094
0.86,0.8913,0.7561,0.0499,0.998,0.0937,0.0479,41,0.0074
0.87,0.8911,0.75,0.0483,0.998,0.0908,0.0463,40,0.0072
0.88,0.8904,0.7353,0.0403,0.9982,0.0763,0.0384,34,0.0062
0.89,0.8897,0.75,0.029,0.9988,0.0558,0.0278,24,0.0043
0.9,0.8897,0.8,0.0258,0.9992,0.0499,0.0249,20,0.0036
