threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.852,0.4291,0.9549,0.8389,0.5921,0.7938,1382,0.2504
0.11,0.8583,0.4396,0.9436,0.8475,0.5998,0.7911,1333,0.2415
0.12,0.8637,0.4496,0.9404,0.854,0.6083,0.7944,1299,0.2354
0.13,0.867,0.4556,0.934,0.8585,0.6125,0.7925,1273,0.2307
0.14,0.8708,0.463,0.9259,0.8638,0.6173,0.7897,1242,0.225
0.15,0.8746,0.4706,0.9163,0.8693,0.6219,0.7856,1209,0.2191
0.16,0.8786,0.4793,0.913,0.8742,0.6286,0.7873,1183,0.2144
0.17,0.8811,0.4849,0.9066,0.8779,0.6319,0.7845,1161,0.2104
0.18,0.8857,0.4956,0.905,0.8832,0.6405,0.7882,1134,0.2055
0.19,0.8889,0.5036,0.8969,0.8879,0.645,0.7849,1106,0.2004
0.2,0.8909,0.5088,0.8889,0.8912,0.6471,0.7801,1085,0.1966
0.21,0.8924,0.5127,0.876,0.8944,0.6468,0.7705,1061,0.1922
0.22,0.8938,0.5168,0.868,0.8971,0.6478,0.7651,1043,0.189
0.23,0.896,0.5231,0.8583,0.9008,0.65,0.7591,1019,0.1846
0.24,0.8965,0.5252,0.8406,0.9036,0.6464,0.7442,994,0.1801
0.25,0.8971,0.5273,0.8245,0.9063,0.6432,0.7308,971,0.1759
0.26,0.8987,0.5325,0.818,0.9089,0.6451,0.727,954,0.1729
0.27,0.9003,0.538,0.81,0.9118,0.6465,0.7218,935,0.1694
0.28,0.9034,0.5482,0.8052,0.9159,0.6523,0.721,912,0.1652
0.29,0.9052,0.5544,0.8035,0.9181,0.6561,0.7217,900,0.1631
0.3,0.9056,0.5566,0.7923,0.92,0.6538,0.7122,884,0.1602
0.31,0.9061,0.5594,0.781,0.922,0.6519,0.703,867,0.1571
0.32,0.9081,0.5674,0.7729,0.9253,0.6544,0.6982,846,0.1533
0.33,0.9085,0.5697,0.7633,0.9269,0.6524,0.6902,832,0.1508
0.34,0.908,0.57,0.7407,0.9292,0.6443,0.6699,807,0.1462
0.35,0.9094,0.5759,0.7391,0.931,0.6474,0.6701,797,0.1444
0.36,0.9112,0.5837,0.7359,0.9334,0.651,0.6694,783,0.1419
0.37,0.9121,0.5883,0.7295,0.9353,0.6513,0.6647,770,0.1395
0.38,0.9128,0.5928,0.7198,0.9373,0.6502,0.6571,754,0.1366
0.39,0.9138,0.5986,0.7085,0.9398,0.649,0.6483,735,0.1332
0.4,0.915,0.607,0.694,0.943,0.6476,0.6371,710,0.1286
0.41,0.9156,0.6112,0.686,0.9447,0.6464,0.6307,697,0.1263
0.42,0.9161,0.6172,0.6699,0.9473,0.6425,0.6172,674,0.1221
0.43,0.9177,0.6275,0.6618,0.9502,0.6442,0.612,655,0.1187
0.44,0.9177,0.6315,0.6457,0.9522,0.6385,0.598,635,0.1151
0.45,0.9183,0.6384,0.6312,0.9547,0.6348,0.5859,614,0.1113
0.46,0.9181,0.6406,0.62,0.9559,0.6301,0.5759,601,0.1089
0.47,0.9181,0.6435,0.6103,0.9571,0.6264,0.5674,589,0.1067
0.48,0.9183,0.6523,0.5862,0.9604,0.6175,0.5465,558,0.1011
0.49,0.9186,0.661,0.5684,0.963,0.6113,0.5315,534,0.0968
0.5,0.9194,0.6732,0.5507,0.9661,0.6058,0.5168,508,0.092
0.51,0.9203,0.6836,0.5427,0.9682,0.605,0.5108,493,0.0893
0.52,0.9192,0.6834,0.525,0.9692,0.5938,0.4941,477,0.0864
0.53,0.9192,0.6915,0.5089,0.9712,0.5863,0.4801,457,0.0828
0.54,0.9185,0.6966,0.4879,0.9731,0.5739,0.461,435,0.0788
0.55,0.9186,0.7038,0.4783,0.9745,0.5695,0.4527,422,0.0765
0.56,0.9185,0.7101,0.4654,0.9759,0.5623,0.4413,407,0.0737
0.57,0.9177,0.7158,0.4461,0.9775,0.5496,0.4236,387,0.0701
0.58,0.9172,0.7204,0.4316,0.9788,0.5398,0.4103,372,0.0674
0.59,0.9163,0.7252,0.4122,0.9802,0.5257,0.3924,353,0.064
0.6,0.9154,0.7265,0.3977,0.981,0.514,0.3788,340,0.0616
0.61,0.9156,0.7414,0.3833,0.9831,0.5053,0.3663,321,0.0582
0.62,0.9141,0.7458,0.3591,0.9845,0.4848,0.3436,299,0.0542
0.63,0.9139,0.7535,0.3494,0.9855,0.4774,0.3349,288,0.0522
0.64,0.9132,0.7554,0.3382,0.9861,0.4672,0.3243,278,0.0504
0.65,0.9134,0.7739,0.3253,0.988,0.458,0.3132,261,0.0473
0.66,0.9128,0.7869,0.3092,0.9894,0.4439,0.2986,244,0.0442
0.67,0.9116,0.7854,0.2947,0.9898,0.4286,0.2845,233,0.0422
0.68,0.9107,0.7909,0.2802,0.9906,0.4138,0.2708,220,0.0399
0.69,0.9094,0.7895,0.2657,0.991,0.3976,0.2567,209,0.0379
0.7,0.9081,0.7908,0.2496,0.9916,0.3794,0.2412,196,0.0355
0.71,0.907,0.7872,0.2383,0.9918,0.3659,0.2302,188,0.0341
0.72,0.9065,0.7901,0.2303,0.9922,0.3566,0.2225,181,0.0328
0.73,0.9047,0.7844,0.211,0.9927,0.3325,0.2036,167,0.0303
0.74,0.9045,0.8013,0.2013,0.9937,0.3218,0.195,156,0.0283
0.75,0.9036,0.8069,0.1884,0.9943,0.3055,0.1827,145,0.0263
0.76,0.9023,0.806,0.1739,0.9947,0.2861,0.1686,134,0.0243
0.77,0.9022,0.8092,0.1707,0.9949,0.2819,0.1656,131,0.0237
