feature,importance_pct
euribor3m,25.61
duration,25.37
age,9.65
cons.price.idx,8.28
cons.conf.idx,5.54
month,5.26
pdays,5.26
education,4.46
campaign,3.54
contact,2.98
previous,2.28
default,1.05
was_contacted,0.7
