number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.9419682182309173,2026-05-07 13:45:21.541426,2026-05-07 13:45:22.817556,0 days 00:00:01.276130,0.49359671220172163,1,0.4936111842654619,0.22648248189516842,120,800,230,0.6245760287469887,0.002570603566117596,COMPLETE
1,0.7963245703494608,2026-05-07 13:45:22.817952,2026-05-07 13:45:23.391611,0 days 00:00:00.573659,0.5090949803242604,2,0.5274034664069657,0.001124579825911934,170,1450,300,5.472429642032189e-06,0.00052821153945323,COMPLETE
2,0.7656073641904155,2026-05-07 13:45:23.391938,2026-05-07 13:45:25.312971,0 days 00:00:01.921033,0.6198171059762151,5,0.575286789121131,0.005265139631677754,30,900,190,0.11656915613247415,6.267062696005991e-07,COMPLETE
3,0.9449430000033847,2026-05-07 13:45:25.313281,2026-05-07 13:45:27.058348,0 days 00:00:01.745067,0.43903095579116774,10,0.502314474212375,0.029341527565000736,130,1100,30,4.905556676028766,0.1886149587855396,COMPLETE
4,0.8029821235655028,2026-05-07 13:45:27.058667,2026-05-07 13:45:27.568250,0 days 00:00:00.509583,0.6971061460667621,1,0.47322294090686734,0.0017456037635797405,90,650,210,1.5271567592511939,2.133142332373e-06,COMPLETE
5,0.7965786288944939,2026-05-07 13:45:27.568564,2026-05-07 13:45:28.077204,0 days 00:00:00.508640,0.9817507766587351,8,0.5109126733153162,0.005917607170144194,110,1350,170,2.8542399074977594,1.1309571585271492,COMPLETE
6,0.9424503793833172,2026-05-07 13:45:28.077525,2026-05-07 13:45:29.176313,0 days 00:00:01.098788,0.5951981984579586,4,0.4271363733463229,0.19212959255386386,40,1250,40,2.7678419414850017e-06,0.287499823474079,COMPLETE
7,0.7651339329684796,2026-05-07 13:45:29.176641,2026-05-07 13:45:30.439920,0 days 00:00:01.263279,0.44473038620786254,10,0.8813181884524238,0.0049648810171066555,30,750,170,0.08916674715636552,6.143857495033091e-07,COMPLETE
8,0.9402280101897259,2026-05-07 13:45:30.440246,2026-05-07 13:45:31.516158,0 days 00:00:01.075912,0.44442679104045424,4,0.8627622080115674,0.10471209213501693,150,100,220,1.1036250149900698e-07,0.5860448217200526,COMPLETE
9,0.7976126836087424,2026-05-07 13:45:31.516466,2026-05-07 13:45:31.986579,0 days 00:00:00.470113,0.8377637070028384,7,0.5951099932160483,0.006601984958164864,70,1300,30,0.9658611176861261,0.0001778010520878397,COMPLETE
10,0.9451807665917462,2026-05-07 13:45:31.986905,2026-05-07 13:45:33.981334,0 days 00:00:01.994429,0.8141482441414871,10,0.7114864019556889,0.04073819616959591,190,1900,90,0.0025074987853267315,0.008349484536843158,COMPLETE
11,0.9430734593743857,2026-05-07 13:45:33.981663,2026-05-07 13:45:36.472648,0 days 00:00:02.490985,0.8216195396547992,10,0.7354129195336013,0.039888815974293765,200,2000,90,0.0014737528144782945,0.017475324694510536,COMPLETE
12,0.9444774944121908,2026-05-07 13:45:36.472949,2026-05-07 13:45:38.037381,0 days 00:00:01.564432,0.8253622963962625,8,0.6812231313327053,0.03776217769538017,200,1900,100,0.001925994946366907,8.366573548059034,COMPLETE
13,0.9433548391356601,2026-05-07 13:45:38.037685,2026-05-07 13:45:41.570876,0 days 00:00:03.533191,0.9251208255256189,10,0.7499145935969226,0.02325761839846095,150,1700,100,5.469967401061532e-05,0.026244458106563312,COMPLETE
14,0.9435520002055213,2026-05-07 13:45:41.571174,2026-05-07 13:45:43.166099,0 days 00:00:01.594925,0.7186744182108762,8,0.9963194571008337,0.07239030731368323,170,400,70,0.015936847132187043,2.65292235329125e-05,COMPLETE
15,0.7934245072917467,2026-05-07 13:45:43.166433,2026-05-07 13:45:43.446233,0 days 00:00:00.279800,0.7177155787244006,9,0.6540051461827369,0.010421514637366758,130,1650,120,9.780720173891654,0.03432390653268753,COMPLETE
16,0.9448331325860296,2026-05-07 13:45:43.446538,2026-05-07 13:45:45.041088,0 days 00:00:01.594550,0.5842428412925792,6,0.8148176788875724,0.016821515204560815,80,1050,20,1.757807193950478e-08,1.314053143275926e-08,COMPLETE
17,0.9432523166016757,2026-05-07 13:45:45.041420,2026-05-07 13:45:47.296870,0 days 00:00:02.255450,0.8775264661611895,9,0.6183025097530723,0.07271493398539444,170,1700,130,0.014715814876063604,0.002862003268238225,COMPLETE
18,0.9443068493736138,2026-05-07 13:45:47.297176,2026-05-07 13:45:50.998252,0 days 00:00:03.701076,0.7549106025974356,7,0.4116253064075788,0.029112067194825193,140,500,60,0.00010030279437312098,0.1761966629338244,COMPLETE
19,0.7941755779249343,2026-05-07 13:45:50.998550,2026-05-07 13:45:51.405893,0 days 00:00:00.407343,0.40463240143413914,9,0.7870332485501155,0.013710604317112143,60,1150,60,0.0004438429921374869,4.535473623935115,COMPLETE
20,0.9446473606778729,2026-05-07 13:45:51.406209,2026-05-07 13:45:52.842950,0 days 00:00:01.436741,0.6454006426421942,6,0.9568617209397235,0.1195759662447367,180,1500,140,5.575849649538339e-06,4.5290469647472586e-05,COMPLETE
21,0.9458586699189087,2026-05-07 13:45:52.843267,2026-05-07 13:45:54.540621,0 days 00:00:01.697354,0.5598874089434189,3,0.8199257229945163,0.017003006641258072,90,1050,20,1.4329321655479917e-08,1.297035295058723e-08,COMPLETE
22,0.9428539023678725,2026-05-07 13:45:54.540943,2026-05-07 13:45:56.376423,0 days 00:00:01.835480,0.5411271419233358,3,0.7304282802789768,0.04887919887664373,100,1000,40,2.718302481252621e-07,4.323027807245568e-08,COMPLETE
23,0.946347424649935,2026-05-07 13:45:56.376726,2026-05-07 13:45:57.294388,0 days 00:00:00.917662,0.5267963690011828,4,0.8637415832189181,0.022212180929643582,10,150,20,1.347551223319092e-08,0.005082962821793873,COMPLETE
24,0.9224237386654583,2026-05-07 13:45:57.294716,2026-05-07 13:45:58.304816,0 days 00:00:01.010100,0.6554836601695155,3,0.900966543108754,0.010604593753774927,20,100,80,1.3004363039805475e-08,0.0025796669682235655,COMPLETE
25,0.9431953389244049,2026-05-07 13:45:58.305131,2026-05-07 13:46:00.604571,0 days 00:00:02.299440,0.5440857937532909,4,0.8225782524344853,0.020178261533109258,50,450,50,1.4178383324609316e-07,9.338801441451646e-06,COMPLETE
26,0.9242202449310077,2026-05-07 13:46:00.604956,2026-05-07 13:46:00.924038,0 days 00:00:00.319082,0.7680494357492033,3,0.9248509801563107,0.003035435884269445,10,250,20,4.452487241836984e-07,0.0004216886569444833,COMPLETE
27,0.9412684797537351,2026-05-07 13:46:00.924361,2026-05-07 13:46:03.112179,0 days 00:00:02.187818,0.5522930448895487,5,0.836815232539964,0.06119171377742378,80,550,110,1.0637378646331393e-06,0.006936503679467499,COMPLETE
28,0.7915239518447752,2026-05-07 13:46:03.112503,2026-05-07 13:46:03.904457,0 days 00:00:00.791954,0.4884371911060764,2,0.7782937707063573,0.010889053673311309,60,1850,70,4.0015668451015035e-05,0.00013895627707388597,COMPLETE
29,0.9413003423489315,2026-05-07 13:46:03.904753,2026-05-07 13:46:05.461354,0 days 00:00:01.556601,0.6750322199977101,1,0.685906873563504,0.258776051437605,110,850,250,4.595949358396217e-08,9.400976118032997e-08,COMPLETE
