iteration,split,metric,value
0,train,binary_logloss,0.3465161003320737
1,train,binary_logloss,0.3420360987123207
2,train,binary_logloss,0.3379527360042057
3,train,binary_logloss,0.33011295598844537
4,train,binary_logloss,0.32352481086775864
5,train,binary_logloss,0.31700934950733733
6,train,binary_logloss,0.3109239037855121
7,train,binary_logloss,0.30523679668083836
8,train,binary_logloss,0.2999922419381533
9,train,binary_logloss,0.2950664401719625
10,train,binary_logloss,0.29079154632996573
11,train,binary_logloss,0.28854494422946125
12,train,binary_logloss,0.2841833035203946
13,train,binary_logloss,0.28016930904123394
14,train,binary_logloss,0.2762682871154916
15,train,binary_logloss,0.27262645127034846
16,train,binary_logloss,0.2692316072324749
17,train,binary_logloss,0.2662153834848038
18,train,binary_logloss,0.2630641659007299
19,train,binary_logloss,0.26008297496540894
20,train,binary_logloss,0.25715232437414554
21,train,binary_logloss,0.2543630151839423
22,train,binary_logloss,0.25171699329603986
23,train,binary_logloss,0.2504207709819882
24,train,binary_logloss,0.2491563114433188
25,train,binary_logloss,0.246647975843762
26,train,binary_logloss,0.24427492743546508
27,train,binary_logloss,0.24220595523986146
28,train,binary_logloss,0.23992518915832398
29,train,binary_logloss,0.23774977714875636
30,train,binary_logloss,0.23675820899848024
31,train,binary_logloss,0.23582638030923597
32,train,binary_logloss,0.2338186622943267
33,train,binary_logloss,0.23191887182856688
34,train,binary_logloss,0.2300464582419513
35,train,binary_logloss,0.22831267168284178
36,train,binary_logloss,0.22656522199739218
37,train,binary_logloss,0.22484976816667132
38,train,binary_logloss,0.22323101315663824
39,train,binary_logloss,0.22165246667405117
40,train,binary_logloss,0.2202009935241697
41,train,binary_logloss,0.21952201385098113
42,train,binary_logloss,0.218126908883854
43,train,binary_logloss,0.21679704251879783
44,train,binary_logloss,0.21543994440792805
45,train,binary_logloss,0.21411798592873565
46,train,binary_logloss,0.21287245443382852
47,train,binary_logloss,0.21168082137498795
48,train,binary_logloss,0.21049737517301953
49,train,binary_logloss,0.20946624218352888
50,train,binary_logloss,0.20836386004407523
51,train,binary_logloss,0.20739098110626575
52,train,binary_logloss,0.20631790565773617
53,train,binary_logloss,0.2053790725785544
54,train,binary_logloss,0.2047519631972624
55,train,binary_logloss,0.20374569550374635
56,train,binary_logloss,0.2027628801626991
57,train,binary_logloss,0.2017909735627663
58,train,binary_logloss,0.20087166348700428
59,train,binary_logloss,0.1999696017059976
60,train,binary_logloss,0.19912104039825776
61,train,binary_logloss,0.19828815544529874
62,train,binary_logloss,0.19747862285095227
63,train,binary_logloss,0.19668653620462181
64,train,binary_logloss,0.1958992804147095
65,train,binary_logloss,0.19513626099155565
66,train,binary_logloss,0.1943944066146663
67,train,binary_logloss,0.19367350802025063
68,train,binary_logloss,0.19302158134602979
69,train,binary_logloss,0.1922621635138101
70,train,binary_logloss,0.19159897742004836
71,train,binary_logloss,0.1908892125563546
72,train,binary_logloss,0.1902348291349583
73,train,binary_logloss,0.1895859812459282
74,train,binary_logloss,0.18896038215993285
75,train,binary_logloss,0.18836223482512884
76,train,binary_logloss,0.1877415845413704
77,train,binary_logloss,0.18715735895615354
78,train,binary_logloss,0.1866776933317644
79,train,binary_logloss,0.18610666383291133
80,train,binary_logloss,0.18556524635881425
81,train,binary_logloss,0.18502025997686214
82,train,binary_logloss,0.18469991492403648
83,train,binary_logloss,0.1843756262525788
84,train,binary_logloss,0.18388265774097054
85,train,binary_logloss,0.18343910896060997
86,train,binary_logloss,0.18292897933395
87,train,binary_logloss,0.18243761043403975
88,train,binary_logloss,0.18201405917861962
89,train,binary_logloss,0.18160687939902526
90,train,binary_logloss,0.18142703348506578
91,train,binary_logloss,0.1810660860250922
92,train,binary_logloss,0.18064821657853133
93,train,binary_logloss,0.1802314634438361
94,train,binary_logloss,0.18003757826206437
95,train,binary_logloss,0.17962881294625713
96,train,binary_logloss,0.179247045318101
97,train,binary_logloss,0.1787895676052519
98,train,binary_logloss,0.17832261017120501
99,train,binary_logloss,0.17795492822112355
100,train,binary_logloss,0.17764688202282103
101,train,binary_logloss,0.17734794862529601
102,train,binary_logloss,0.17705901309859437
103,train,binary_logloss,0.1767757897068309
104,train,binary_logloss,0.17651568665843753
105,train,binary_logloss,0.1761070687682736
106,train,binary_logloss,0.17571905346752614
107,train,binary_logloss,0.17535077106055166
108,train,binary_logloss,0.17502969516592284
109,train,binary_logloss,0.17472570685498665
110,train,binary_logloss,0.17455394012045883
111,train,binary_logloss,0.174326317036898
112,train,binary_logloss,0.17400461606021136
113,train,binary_logloss,0.17367881354314113
114,train,binary_logloss,0.17336785058535592
115,train,binary_logloss,0.17309567364012854
116,train,binary_logloss,0.1728293433054741
117,train,binary_logloss,0.1725561961523773
118,train,binary_logloss,0.172252655039602
119,train,binary_logloss,0.1719884944381123
120,train,binary_logloss,0.17175767586154708
121,train,binary_logloss,0.17154179466369446
122,train,binary_logloss,0.1713363818165384
123,train,binary_logloss,0.17112366121987313
124,train,binary_logloss,0.1709120305729533
125,train,binary_logloss,0.1707676900602993
126,train,binary_logloss,0.17052521494465908
127,train,binary_logloss,0.17039758945299516
128,train,binary_logloss,0.1701943865345511
129,train,binary_logloss,0.16992432157107032
130,train,binary_logloss,0.16978592271761
131,train,binary_logloss,0.16953359633954693
132,train,binary_logloss,0.16940678926717817
133,train,binary_logloss,0.1692954190041097
134,train,binary_logloss,0.16908179758721134
135,train,binary_logloss,0.16882798852457406
136,train,binary_logloss,0.1685550087584554
137,train,binary_logloss,0.16837499341143122
138,train,binary_logloss,0.16813401967007524
139,train,binary_logloss,0.16802396682820633
140,train,binary_logloss,0.16781040590732663
141,train,binary_logloss,0.16761601156472522
142,train,binary_logloss,0.16743122784402195
143,train,binary_logloss,0.16725532983074756
144,train,binary_logloss,0.16707516350580306
145,train,binary_logloss,0.1669148409411846
146,train,binary_logloss,0.16676371336862592
147,train,binary_logloss,0.16660762902104023
148,train,binary_logloss,0.16652511791246508
149,train,binary_logloss,0.16643114414343602
0,train,auc,0.7873375452384452
1,train,auc,0.7944552312836972
2,train,auc,0.7947847755858102
3,train,auc,0.9178902119965189
4,train,auc,0.9303499846233907
5,train,auc,0.9361765125356584
6,train,auc,0.9413784556554462
7,train,auc,0.9425346006609433
8,train,auc,0.9436232905088526
9,train,auc,0.9442722006942381
10,train,auc,0.9448593309616315
11,train,auc,0.9441533599433529
12,train,auc,0.9449009288228722
13,train,auc,0.9452784659120024
14,train,auc,0.9457684077013165
15,train,auc,0.946070244085475
16,train,auc,0.9462128756052458
17,train,auc,0.9464432574328984
18,train,auc,0.9465502027993408
19,train,auc,0.946851350341012
20,train,auc,0.9469703864352891
21,train,auc,0.947018965252482
22,train,auc,0.9470646858874145
23,train,auc,0.9471161845742546
24,train,auc,0.9471928003087988
25,train,auc,0.9473789111551111
26,train,auc,0.9474952432855952
27,train,auc,0.947657224082394
28,train,auc,0.9478048934054292
29,train,auc,0.9479769909336814
30,train,auc,0.9479841877954878
31,train,auc,0.9480461733381027
32,train,auc,0.9481157978354636
33,train,auc,0.9481865635494824
34,train,auc,0.948258943416792
35,train,auc,0.9483154285007407
36,train,auc,0.9483764990137832
37,train,auc,0.948498763414642
38,train,auc,0.9485412454617618
39,train,auc,0.9486119906133182
40,train,auc,0.9487021981354453
41,train,auc,0.9488708514512616
42,train,auc,0.9489544995479137
43,train,auc,0.9489722243904196
44,train,auc,0.9490519861816963
45,train,auc,0.9491276766054368
46,train,auc,0.949176748921725
47,train,auc,0.9492332956930607
48,train,auc,0.9495276987470963
49,train,auc,0.9496778150031456
50,train,auc,0.9497738314208736
51,train,auc,0.9501359055383511
52,train,auc,0.9502018287924974
53,train,auc,0.9502786501516646
54,train,auc,0.9516855029788016
55,train,auc,0.9517144240820321
56,train,auc,0.9517407645962433
57,train,auc,0.9517706315727397
58,train,auc,0.9517804090235652
59,train,auc,0.9517799772118568
60,train,auc,0.9517986273651664
61,train,auc,0.9518130005263168
62,train,auc,0.9518251529415384
63,train,auc,0.9518395158214576
64,train,auc,0.9519592716019153
65,train,auc,0.9520371724903536
66,train,auc,0.9520930921065889
67,train,auc,0.9521087709840956
68,train,auc,0.9521444571374239
69,train,auc,0.9522092288936811
70,train,auc,0.9522459226076624
71,train,auc,0.9522866157205617
72,train,auc,0.9523293547984604
73,train,auc,0.9523537830036773
74,train,auc,0.9523825087635158
75,train,auc,0.9524061864388587
76,train,auc,0.95269305335046
77,train,auc,0.9528212603029246
78,train,auc,0.9528916970175464
79,train,auc,0.9530186702222728
80,train,auc,0.9531330386376069
81,train,auc,0.9531982319243413
82,train,auc,0.953338488479716
83,train,auc,0.953488717829308
84,train,auc,0.9535043144569655
85,train,auc,0.9535137834708565
86,train,auc,0.9535474853465725
87,train,auc,0.9535820200020119
88,train,auc,0.9536169761879284
89,train,auc,0.9536487863171125
90,train,auc,0.9536864670292843
91,train,auc,0.953724137460225
92,train,auc,0.9537906775882403
93,train,auc,0.9538378581579965
94,train,auc,0.9539020644465404
95,train,auc,0.9539593720289812
96,train,auc,0.9541382757322561
97,train,auc,0.9542511636503043
98,train,auc,0.9543866085894998
99,train,auc,0.9544396391797815
100,train,auc,0.9544620831073861
101,train,auc,0.9544811445099418
102,train,auc,0.9545038660307876
103,train,auc,0.9545345246620827
104,train,auc,0.954667718011656
105,train,auc,0.9547848829218634
106,train,auc,0.9548996831489058
107,train,auc,0.9549849145551554
108,train,auc,0.9550489460627696
