number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.9419682182309173,2026-04-11 06:48:15.402100,2026-04-11 06:48:16.591393,0 days 00:00:01.189293,0.49359671220172163,1,0.4936111842654619,0.22648248189516842,120,800,230,0.6245760287469887,0.002570603566117596,COMPLETE
1,0.7963245703494608,2026-04-11 06:48:16.591823,2026-04-11 06:48:17.075939,0 days 00:00:00.484116,0.5090949803242604,2,0.5274034664069657,0.001124579825911934,170,1450,300,5.472429642032189e-06,0.00052821153945323,COMPLETE
2,0.7656073641904155,2026-04-11 06:48:17.076250,2026-04-11 06:48:18.698376,0 days 00:00:01.622126,0.6198171059762151,5,0.575286789121131,0.005265139631677754,30,900,190,0.11656915613247415,6.267062696005991e-07,COMPLETE
3,0.9449430000033847,2026-04-11 06:48:18.699236,2026-04-11 06:48:20.159481,0 days 00:00:01.460245,0.43903095579116774,10,0.502314474212375,0.029341527565000736,130,1100,30,4.905556676028766,0.1886149587855396,COMPLETE
4,0.8029821235655028,2026-04-11 06:48:20.159758,2026-04-11 06:48:20.599585,0 days 00:00:00.439827,0.6971061460667621,1,0.47322294090686734,0.0017456037635797405,90,650,210,1.5271567592511939,2.133142332373e-06,COMPLETE
5,0.7965786288944939,2026-04-11 06:48:20.599859,2026-04-11 06:48:21.006772,0 days 00:00:00.406913,0.9817507766587351,8,0.5109126733153162,0.005917607170144194,110,1350,170,2.8542399074977594,1.1309571585271492,COMPLETE
6,0.9424503793833172,2026-04-11 06:48:21.007057,2026-04-11 06:48:21.921579,0 days 00:00:00.914522,0.5951981984579586,4,0.4271363733463229,0.19212959255386386,40,1250,40,2.7678419414850017e-06,0.287499823474079,COMPLETE
7,0.7651339329684796,2026-04-11 06:48:21.921879,2026-04-11 06:48:22.939370,0 days 00:00:01.017491,0.44473038620786254,10,0.8813181884524238,0.0049648810171066555,30,750,170,0.08916674715636552,6.143857495033091e-07,COMPLETE
8,0.9402280101897259,2026-04-11 06:48:22.939636,2026-04-11 06:48:23.863183,0 days 00:00:00.923547,0.44442679104045424,4,0.8627622080115674,0.10471209213501693,150,100,220,1.1036250149900698e-07,0.5860448217200526,COMPLETE
9,0.7976126836087424,2026-04-11 06:48:23.863471,2026-04-11 06:48:24.255037,0 days 00:00:00.391566,0.8377637070028384,7,0.5951099932160483,0.006601984958164864,70,1300,30,0.9658611176861261,0.0001778010520878397,COMPLETE
10,0.9451807665917462,2026-04-11 06:48:24.255301,2026-04-11 06:48:25.818633,0 days 00:00:01.563332,0.8141482441414871,10,0.7114864019556889,0.04073819616959591,190,1900,90,0.0025074987853267315,0.008349484536843158,COMPLETE
