number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
11,0.9430734593743857,2026-04-11 06:48:25.818945,2026-04-11 06:48:27.908636,0 days 00:00:02.089691,0.8216195396547992,10,0.7354129195336013,0.039888815974293765,200,2000,90,0.0014737528144782945,0.017475324694510536,COMPLETE
12,0.9444774944121908,2026-04-11 06:48:27.908933,2026-04-11 06:48:29.246132,0 days 00:00:01.337199,0.8253622963962625,8,0.6812231313327053,0.03776217769538017,200,1900,100,0.001925994946366907,8.366573548059034,COMPLETE
13,0.9433548391356601,2026-04-11 06:48:29.246413,2026-04-11 06:48:32.293835,0 days 00:00:03.047422,0.9251208255256189,10,0.7499145935969226,0.02325761839846095,150,1700,100,5.469967401061532e-05,0.026244458106563312,COMPLETE
14,0.9435520002055213,2026-04-11 06:48:32.294657,2026-04-11 06:48:33.659653,0 days 00:00:01.364996,0.7186744182108762,8,0.9963194571008337,0.07239030731368323,170,400,70,0.015936847132187043,2.65292235329125e-05,COMPLETE
15,0.7934245072917467,2026-04-11 06:48:33.659945,2026-04-11 06:48:33.904168,0 days 00:00:00.244223,0.7177155787244006,9,0.6540051461827369,0.010421514637366758,130,1650,120,9.780720173891654,0.03432390653268753,COMPLETE
16,0.9448331325860296,2026-04-11 06:48:33.904458,2026-04-11 06:48:35.273223,0 days 00:00:01.368765,0.5842428412925792,6,0.8148176788875724,0.016821515204560815,80,1050,20,1.757807193950478e-08,1.314053143275926e-08,COMPLETE
17,0.9432523166016757,2026-04-11 06:48:35.273531,2026-04-11 06:48:37.234053,0 days 00:00:01.960522,0.8775264661611895,9,0.6183025097530723,0.07271493398539444,170,1700,130,0.014715814876063604,0.002862003268238225,COMPLETE
18,0.9443068493736138,2026-04-11 06:48:37.234324,2026-04-11 06:48:40.393881,0 days 00:00:03.159557,0.7549106025974356,7,0.4116253064075788,0.029112067194825193,140,500,60,0.00010030279437312098,0.1761966629338244,COMPLETE
19,0.7941755779249343,2026-04-11 06:48:40.394175,2026-04-11 06:48:40.735580,0 days 00:00:00.341405,0.40463240143413914,9,0.7870332485501155,0.013710604317112143,60,1150,60,0.0004438429921374869,4.535473623935115,COMPLETE
20,0.9446473606778729,2026-04-11 06:48:40.735868,2026-04-11 06:48:41.985958,0 days 00:00:01.250090,0.6454006426421942,6,0.9568617209397235,0.1195759662447367,180,1500,140,5.575849649538339e-06,4.5290469647472586e-05,COMPLETE
21,0.9458586699189087,2026-04-11 06:48:41.986242,2026-04-11 06:48:43.448174,0 days 00:00:01.461932,0.5598874089434189,3,0.8199257229945163,0.017003006641258072,90,1050,20,1.4329321655479917e-08,1.297035295058723e-08,COMPLETE
22,0.9428539023678725,2026-04-11 06:48:43.448459,2026-04-11 06:48:44.992926,0 days 00:00:01.544467,0.5411271419233358,3,0.7304282802789768,0.04887919887664373,100,1000,40,2.718302481252621e-07,4.323027807245568e-08,COMPLETE
23,0.946347424649935,2026-04-11 06:48:44.993215,2026-04-11 06:48:45.771731,0 days 00:00:00.778516,0.5267963690011828,4,0.8637415832189181,0.022212180929643582,10,150,20,1.347551223319092e-08,0.005082962821793873,COMPLETE
24,0.9224237386654583,2026-04-11 06:48:45.772015,2026-04-11 06:48:46.616149,0 days 00:00:00.844134,0.6554836601695155,3,0.900966543108754,0.010604593753774927,20,100,80,1.3004363039805475e-08,0.0025796669682235655,COMPLETE
25,0.9431953389244049,2026-04-11 06:48:46.616432,2026-04-11 06:48:48.552320,0 days 00:00:01.935888,0.5440857937532909,4,0.8225782524344853,0.020178261533109258,50,450,50,1.4178383324609316e-07,9.338801441451646e-06,COMPLETE
26,0.9242202449310077,2026-04-11 06:48:48.552637,2026-04-11 06:48:48.833774,0 days 00:00:00.281137,0.7680494357492033,3,0.9248509801563107,0.003035435884269445,10,250,20,4.452487241836984e-07,0.0004216886569444833,COMPLETE
27,0.9412684797537351,2026-04-11 06:48:48.834059,2026-04-11 06:48:50.657807,0 days 00:00:01.823748,0.5522930448895487,5,0.836815232539964,0.06119171377742378,80,550,110,1.0637378646331393e-06,0.006936503679467499,COMPLETE
28,0.7915239518447752,2026-04-11 06:48:50.658073,2026-04-11 06:48:51.339983,0 days 00:00:00.681910,0.4884371911060764,2,0.7782937707063573,0.010889053673311309,60,1850,70,4.0015668451015035e-05,0.00013895627707388597,COMPLETE
29,0.9413003423489315,2026-04-11 06:48:51.340272,2026-04-11 06:48:52.655977,0 days 00:00:01.315705,0.6750322199977101,1,0.685906873563504,0.258776051437605,110,850,250,4.595949358396217e-08,9.400976118032997e-08,COMPLETE
