threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8342,0.3997,0.9436,0.8203,0.5616,0.764,1466,0.2656
0.11,0.8404,0.4087,0.9372,0.8281,0.5692,0.7653,1424,0.258
0.12,0.8467,0.4182,0.9259,0.8367,0.5762,0.7626,1375,0.2491
0.13,0.8527,0.428,0.9195,0.8442,0.5841,0.7637,1334,0.2417
0.14,0.8576,0.4359,0.9034,0.8518,0.5881,0.7552,1287,0.2332
0.15,0.8612,0.4418,0.8857,0.8581,0.5895,0.7438,1245,0.2256
0.16,0.8659,0.4505,0.8728,0.865,0.5943,0.7378,1203,0.218
0.17,0.8697,0.458,0.8599,0.871,0.5976,0.7309,1166,0.2113
0.18,0.8724,0.4637,0.8535,0.8748,0.6009,0.7283,1143,0.2071
0.19,0.8757,0.4707,0.8422,0.88,0.6039,0.7221,1111,0.2013
0.2,0.8772,0.4737,0.8261,0.8836,0.6021,0.7097,1083,0.1962
0.21,0.8806,0.4819,0.8148,0.8889,0.6056,0.7037,1050,0.1903
0.22,0.8819,0.4847,0.7923,0.8932,0.6015,0.6855,1015,0.1839
0.23,0.8839,0.4899,0.7778,0.8973,0.6011,0.6751,986,0.1787
0.24,0.8858,0.4953,0.7633,0.9014,0.6008,0.6647,957,0.1734
0.25,0.89,0.5076,0.7568,0.9069,0.6076,0.6637,926,0.1678
0.26,0.8911,0.5112,0.7343,0.911,0.6028,0.6453,892,0.1616
0.27,0.8927,0.5166,0.7246,0.914,0.6032,0.6387,871,0.1578
0.28,0.8926,0.5164,0.7085,0.9159,0.5974,0.6244,852,0.1544
0.29,0.8956,0.5273,0.6989,0.9206,0.6011,0.6195,823,0.1491
0.3,0.8958,0.5288,0.6812,0.923,0.5954,0.6042,800,0.145
0.31,0.8965,0.5321,0.6683,0.9255,0.5924,0.5938,780,0.1413
0.32,0.898,0.5382,0.6586,0.9283,0.5923,0.587,760,0.1377
0.33,0.8996,0.5453,0.649,0.9314,0.5926,0.5804,739,0.1339
0.34,0.8998,0.5474,0.6329,0.9336,0.587,0.5665,718,0.1301
0.35,0.9002,0.5509,0.6103,0.9369,0.5791,0.5472,688,0.1247
0.36,0.9007,0.5544,0.599,0.939,0.5759,0.538,671,0.1216
0.37,0.9003,0.5549,0.5781,0.9412,0.5662,0.5193,647,0.1172
0.38,0.9005,0.5577,0.5604,0.9437,0.559,0.504,624,0.1131
0.39,0.9023,0.5681,0.5507,0.9469,0.5593,0.4976,602,0.1091
0.4,0.9034,0.5759,0.5378,0.9498,0.5562,0.4876,580,0.1051
0.41,0.9045,0.5839,0.5266,0.9524,0.5538,0.479,560,0.1015
0.42,0.9063,0.5967,0.5169,0.9557,0.5539,0.4726,538,0.0975
0.43,0.9061,0.6,0.4976,0.9579,0.544,0.4555,515,0.0933
0.44,0.9063,0.6044,0.4847,0.9598,0.538,0.4445,498,0.0902
0.45,0.9067,0.6109,0.4702,0.962,0.5314,0.4322,478,0.0866
0.46,0.9069,0.6166,0.4557,0.9641,0.5241,0.4198,459,0.0832
0.47,0.9072,0.6236,0.4428,0.9661,0.5179,0.4089,441,0.0799
0.48,0.9065,0.6253,0.4219,0.9679,0.5038,0.3898,419,0.0759
0.49,0.9069,0.6321,0.4122,0.9696,0.499,0.3818,405,0.0734
0.5,0.9067,0.6345,0.4026,0.9706,0.4926,0.3732,394,0.0714
0.51,0.9063,0.6368,0.3897,0.9718,0.4835,0.3615,380,0.0689
0.52,0.9056,0.6351,0.3784,0.9724,0.4743,0.3509,370,0.067
0.53,0.9067,0.6489,0.372,0.9745,0.4729,0.3465,356,0.0645
0.54,0.9074,0.659,0.3671,0.9759,0.4716,0.3431,346,0.0627
0.55,0.9078,0.6697,0.3559,0.9777,0.4648,0.3336,330,0.0598
0.56,0.9076,0.6762,0.343,0.9792,0.4551,0.3222,315,0.0571
0.57,0.9072,0.6787,0.3333,0.98,0.4471,0.3133,305,0.0553
0.58,0.9083,0.6976,0.3269,0.982,0.4452,0.3089,291,0.0527
0.59,0.9072,0.6953,0.3124,0.9826,0.4311,0.295,279,0.0506
0.6,0.9072,0.7072,0.2995,0.9843,0.4208,0.2838,263,0.0477
0.61,0.9069,0.7115,0.2899,0.9851,0.4119,0.275,253,0.0458
0.62,0.9054,0.7071,0.2721,0.9857,0.393,0.2579,239,0.0433
0.63,0.9049,0.7124,0.2593,0.9867,0.3802,0.246,226,0.0409
0.64,0.9041,0.715,0.2464,0.9875,0.3665,0.2339,214,0.0388
0.65,0.9029,0.7202,0.2238,0.989,0.3415,0.2128,193,0.035
0.66,0.9029,0.7348,0.2142,0.9902,0.3317,0.2044,181,0.0328
0.67,0.9014,0.7251,0.1997,0.9904,0.3131,0.1901,171,0.031
0.68,0.9002,0.716,0.1868,0.9906,0.2963,0.1774,162,0.0294
0.69,0.9,0.7285,0.1771,0.9916,0.285,0.1688,151,0.0274
0.7,0.8994,0.7324,0.1675,0.9922,0.2726,0.1597,142,0.0257
0.71,0.8987,0.7422,0.153,0.9933,0.2537,0.1462,128,0.0232
0.72,0.8974,0.7391,0.1369,0.9939,0.231,0.1308,115,0.0208
0.73,0.8974,0.7523,0.132,0.9945,0.2247,0.1265,109,0.0197
0.74,0.8967,0.7525,0.1224,0.9949,0.2105,0.1173,101,0.0183
0.75,0.8964,0.7475,0.1192,0.9949,0.2056,0.1141,99,0.0179
0.76,0.896,0.7582,0.1111,0.9955,0.1938,0.1066,91,0.0165
0.77,0.8956,0.7647,0.1047,0.9959,0.1841,0.1006,85,0.0154
0.78,0.8949,0.7662,0.095,0.9963,0.1691,0.0913,77,0.014
0.79,0.8935,0.7391,0.0821,0.9963,0.1478,0.0785,69,0.0125
0.8,0.894,0.7903,0.0789,0.9973,0.1435,0.0763,62,0.0112
0.81,0.8938,0.8302,0.0709,0.9982,0.1306,0.069,53,0.0096
0.82,0.8935,0.8511,0.0644,0.9986,0.1198,0.063,47,0.0085
0.83,0.8929,0.8409,0.0596,0.9986,0.1113,0.0582,44,0.008
0.84,0.8935,0.9231,0.058,0.9994,0.1091,0.0574,39,0.0071
0.85,0.8926,0.9118,0.0499,0.9994,0.0947,0.0493,34,0.0062
0.86,0.892,0.9032,0.0451,0.9994,0.0859,0.0445,31,0.0056
0.87,0.8913,0.92,0.037,0.9996,0.0712,0.0366,25,0.0045
0.88,0.8904,0.9,0.029,0.9996,0.0562,0.0286,20,0.0036
0.89,0.8893,0.8571,0.0193,0.9996,0.0378,0.0189,14,0.0025
0.9,0.8889,0.9,0.0145,0.9998,0.0285,0.0143,10,0.0018
