threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8431,0.4142,0.9517,0.8293,0.5771,0.781,1427,0.2586
0.11,0.8502,0.4255,0.9469,0.8379,0.5871,0.7848,1382,0.2504
0.12,0.8574,0.4377,0.9388,0.8471,0.597,0.7859,1332,0.2413
0.13,0.8619,0.4458,0.934,0.8528,0.6035,0.7868,1301,0.2357
0.14,0.8674,0.4561,0.9291,0.8595,0.6119,0.7887,1265,0.2292
0.15,0.8719,0.465,0.9211,0.8657,0.618,0.7868,1230,0.2229
0.16,0.8766,0.4749,0.9147,0.8718,0.6252,0.7864,1196,0.2167
0.17,0.8791,0.4804,0.9066,0.8757,0.628,0.7823,1172,0.2124
0.18,0.8829,0.4891,0.905,0.8802,0.635,0.7851,1149,0.2082
0.19,0.8858,0.496,0.9018,0.8838,0.64,0.7856,1129,0.2046
0.2,0.8878,0.5009,0.8873,0.8879,0.6403,0.7752,1100,0.1993
0.21,0.8889,0.5037,0.8696,0.8914,0.6379,0.7609,1072,0.1942
0.22,0.89,0.5066,0.8631,0.8934,0.6385,0.7565,1058,0.1917
0.23,0.892,0.5121,0.8535,0.8969,0.6401,0.7504,1035,0.1875
0.24,0.8936,0.5167,0.8486,0.8993,0.6423,0.748,1020,0.1848
0.25,0.8955,0.522,0.8406,0.9024,0.644,0.743,1000,0.1812
0.26,0.8965,0.5257,0.8245,0.9057,0.642,0.7302,974,0.1765
0.27,0.8987,0.5327,0.8132,0.9096,0.6437,0.7228,948,0.1718
0.28,0.9009,0.5402,0.8003,0.9136,0.645,0.714,920,0.1667
0.29,0.9023,0.5455,0.7923,0.9163,0.6461,0.7086,902,0.1634
0.3,0.9047,0.5544,0.7794,0.9206,0.6479,0.7,873,0.1582
0.31,0.9054,0.5576,0.7713,0.9224,0.6473,0.6938,859,0.1556
0.32,0.906,0.5603,0.7633,0.9241,0.6462,0.6873,846,0.1533
0.33,0.906,0.5619,0.7456,0.9263,0.6408,0.6719,824,0.1493
0.34,0.9074,0.5681,0.7391,0.9287,0.6424,0.6679,808,0.1464
0.35,0.9087,0.5743,0.7279,0.9316,0.642,0.6595,787,0.1426
0.36,0.9101,0.5811,0.7214,0.9341,0.6437,0.6555,771,0.1397
0.37,0.9096,0.5816,0.7005,0.9361,0.6355,0.6366,748,0.1355
0.38,0.9101,0.5867,0.6812,0.9392,0.6304,0.6203,721,0.1306
0.39,0.9118,0.5952,0.6747,0.9418,0.6325,0.6165,704,0.1276
0.4,0.9119,0.6006,0.649,0.9453,0.6238,0.5942,671,0.1216
0.41,0.9125,0.6068,0.6312,0.9481,0.6188,0.5794,646,0.1171
0.42,0.9139,0.6166,0.6216,0.951,0.6191,0.5726,626,0.1134
0.43,0.9157,0.63,0.6087,0.9547,0.6192,0.5634,600,0.1087
0.44,0.9157,0.6327,0.599,0.9559,0.6154,0.5549,588,0.1065
0.45,0.9167,0.64,0.5926,0.9577,0.6154,0.5503,575,0.1042
0.46,0.9161,0.6416,0.5765,0.9592,0.6073,0.5357,558,0.1011
0.47,0.9186,0.661,0.5684,0.963,0.6113,0.5315,534,0.0968
0.48,0.9179,0.6603,0.5572,0.9637,0.6044,0.5208,524,0.0949
0.49,0.9179,0.6654,0.5443,0.9653,0.5988,0.5096,508,0.092
0.5,0.9168,0.6667,0.5217,0.9669,0.5854,0.4887,486,0.0881
0.51,0.9174,0.6797,0.5024,0.97,0.5778,0.4724,459,0.0832
0.52,0.917,0.6874,0.4815,0.9722,0.5663,0.4537,435,0.0788
0.53,0.9165,0.6914,0.4654,0.9737,0.5563,0.439,418,0.0757
0.54,0.9167,0.7069,0.4428,0.9767,0.5446,0.4196,389,0.0705
0.55,0.9154,0.7127,0.4155,0.9788,0.5249,0.3942,362,0.0656
0.56,0.9147,0.7193,0.3961,0.9804,0.5109,0.3765,342,0.062
0.57,0.9138,0.7316,0.3688,0.9829,0.4904,0.3516,313,0.0567
0.58,0.9127,0.7324,0.3527,0.9837,0.4761,0.3363,299,0.0542
0.59,0.9121,0.7394,0.3382,0.9849,0.4641,0.3231,284,0.0515
0.6,0.9114,0.7444,0.3237,0.9859,0.4512,0.3096,270,0.0489
0.61,0.9119,0.7647,0.314,0.9878,0.4452,0.3018,255,0.0462
0.62,0.9119,0.7801,0.3027,0.9892,0.4362,0.2919,241,0.0437
0.63,0.9123,0.8044,0.2915,0.991,0.4279,0.2825,225,0.0408
0.64,0.9118,0.8045,0.285,0.9912,0.4209,0.2762,220,0.0399
0.65,0.9109,0.8086,0.2721,0.9918,0.4072,0.264,209,0.0379
0.66,0.9103,0.8214,0.2593,0.9929,0.3941,0.2521,196,0.0355
0.67,0.9096,0.8211,0.2512,0.9931,0.3847,0.2443,190,0.0344
0.68,0.9085,0.8222,0.2383,0.9935,0.3695,0.2318,180,0.0326
0.69,0.9087,0.8382,0.2335,0.9943,0.3652,0.2278,173,0.0313
0.7,0.9078,0.8333,0.2254,0.9943,0.3549,0.2197,168,0.0304
0.71,0.9063,0.8377,0.2077,0.9949,0.3329,0.2026,154,0.0279
0.72,0.9049,0.8333,0.1932,0.9951,0.3137,0.1883,144,0.0261
0.73,0.9036,0.8296,0.1804,0.9953,0.2963,0.1757,135,0.0245
0.74,0.9025,0.8268,0.1691,0.9955,0.2807,0.1646,127,0.023
0.75,0.9023,0.8534,0.1594,0.9965,0.2687,0.1559,116,0.021
0.76,0.9009,0.8491,0.1449,0.9967,0.2476,0.1417,106,0.0192
0.77,0.9002,0.8431,0.1385,0.9967,0.2379,0.1352,102,0.0185
0.78,0.8989,0.8387,0.1256,0.9969,0.2185,0.1225,93,0.0169
0.79,0.8971,0.8272,0.1079,0.9971,0.1909,0.105,81,0.0147
0.8,0.8953,0.8116,0.0902,0.9973,0.1623,0.0875,69,0.0125
0.81,0.8931,0.7818,0.0692,0.9976,0.1272,0.0668,55,0.01
0.82,0.892,0.766,0.058,0.9978,0.1078,0.0557,47,0.0085
0.83,0.8907,0.725,0.0467,0.9978,0.0877,0.0445,40,0.0072
0.84,0.8907,0.7812,0.0403,0.9986,0.0766,0.0388,32,0.0058
0.85,0.89,0.8182,0.029,0.9992,0.056,0.0282,22,0.004
0.86,0.8897,0.8333,0.0242,0.9994,0.0469,0.0235,18,0.0033
0.87,0.8887,0.8182,0.0145,0.9996,0.0285,0.0141,11,0.002
0.88,0.888,0.7143,0.0081,0.9996,0.0159,0.0076,7,0.0013
0.89,0.8878,0.75,0.0048,0.9998,0.0096,0.0046,4,0.0007
0.9,0.8875,0.5,0.0016,0.9998,0.0032,0.0014,2,0.0004
