model,threshold,split,roc_auc,gini,ks_statistic,pr_auc,accuracy,precision,recall,f1,n_samples,n_positive,positive_rate
lgbm,0.2,train,0.9543,0.9086,0.7925,0.7047,0.8933,0.515,0.8787,0.6494,22076,4235,0.1918
lgbm,0.2,val,0.9487,0.8974,0.79,0.6641,0.8878,0.5009,0.8873,0.6403,5519,1100,0.1993
lgbm,0.2,test,,,,,,,,,13593,2653,0.1952
