number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eta,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9374107343876437,2026-04-09 10:30:16.365960,2026-04-09 10:30:17.072969,0 days 00:00:00.707009,0.40921304830970556,0.06504856968981275,10,8,800,3.3323645788192616e-08,0.6245760287469887,0.759195090518222,COMPLETE
1,0.942534687799226,2026-04-09 10:30:17.073237,2026-04-09 10:30:21.450818,0 days 00:00:04.377581,0.8827098485602952,0.001124579825911934,8,11,1250,4.329370014459266e-07,4.4734294104626844e-07,0.9819459112971965,COMPLETE
2,0.9422742933697552,2026-04-09 10:30:21.451091,2026-04-09 10:30:23.217398,0 days 00:00:01.766307,0.7282970263056656,0.01174843954800703,7,7,650,4.258943089524393e-06,1.9826980964985924e-05,0.5747374841188252,COMPLETE
3,0.9373926000612682,2026-04-09 10:30:23.217691,2026-04-09 10:30:27.140001,0 days 00:00:03.922310,0.7146901982034297,0.003123317753376431,9,3,950,0.0029369981104377003,3.425445902633376e-07,0.708540663048167,COMPLETE
4,0.9356051845908693,2026-04-09 10:30:27.140295,2026-04-09 10:30:27.478853,0 days 00:00:00.338558,0.5132296384213595,0.24659691172104828,10,5,200,0.01439120761572808,9.148975058772307e-05,0.8850384088698767,COMPLETE
5,0.9353855182679582,2026-04-09 10:30:27.479152,2026-04-09 10:30:28.301230,0 days 00:00:00.822078,0.48114598712001183,0.0012167028814593455,6,34,300,6.388511557344611e-06,0.0004793052550782129,0.9455922412472693,COMPLETE
6,0.9414878619107082,2026-04-09 10:30:28.301501,2026-04-09 10:30:28.722880,0 days 00:00:00.421379,0.9576492590949324,0.25221951700214296,4,45,1150,0.002404915432737351,1.9809253750493887,0.8650796940166687,COMPLETE
7,0.9368626290390796,2026-04-09 10:30:28.723163,2026-04-09 10:30:29.258019,0 days 00:00:00.534856,0.5720741027826374,0.001294295611551122,4,14,250,0.287499823474079,1.6247252885719427e-05,0.5951981984579586,COMPLETE
8,0.9358866266669592,2026-04-09 10:30:29.258287,2026-04-09 10:30:31.028741,0 days 00:00:01.770454,0.35218545057583955,0.0022340165853190056,7,50,600,0.08916674715636552,6.143857495033091e-07,0.8813181884524238,COMPLETE
9,0.935290546546049,2026-04-09 10:30:31.030051,2026-04-09 10:30:31.426921,0 days 00:00:00.396870,0.839889242680162,0.0563600475052774,9,4,100,1.683416412018213e-05,1.1036250149900698e-07,0.8374043008245924,COMPLETE
10,0.9442048271366099,2026-04-09 10:30:31.427195,2026-04-09 10:30:34.814198,0 days 00:00:03.387003,0.9878646176674422,0.008191923351508625,6,22,1800,1.3815073407783176e-08,1.2905294800667507e-08,0.4107771253688917,COMPLETE
11,0.9440186186926774,2026-04-09 10:30:34.814513,2026-04-09 10:30:39.851331,0 days 00:00:05.036818,0.9816759326043596,0.005818700281673484,6,21,1800,1.4239280268649237e-08,1.2540363726263013e-08,0.4103116901613753,COMPLETE
12,0.944359424378649,2026-04-09 10:30:39.851673,2026-04-09 10:30:45.561984,0 days 00:00:05.710311,0.9884733618905656,0.007087546031768614,5,24,1900,2.045812602973543e-08,2.567638749733627e-08,0.4021844471848666,COMPLETE
13,0.9442027188874703,2026-04-09 10:30:45.562392,2026-04-09 10:30:50.404781,0 days 00:00:04.842389,0.8342448483517797,0.01659856075089224,5,29,2000,9.868745464853797,1.0981537682709077e-08,0.4058295863571369,COMPLETE
14,0.944675584456955,2026-04-09 10:30:50.405194,2026-04-09 10:30:53.233914,0 days 00:00:02.828720,0.9906608058996952,0.007719238482107563,3,19,1550,2.309603411118004e-07,0.04394253214905646,0.4957185389841081,COMPLETE
15,0.9445011450589198,2026-04-09 10:30:53.234244,2026-04-09 10:30:54.836171,0 days 00:00:01.601927,0.7641029744859176,0.03547497140363139,3,34,1400,5.482417813288493e-07,0.02041612583584892,0.5212437101022421,COMPLETE
16,0.9447695964161109,2026-04-09 10:30:54.836443,2026-04-09 10:30:56.788277,0 days 00:00:01.951834,0.6570622733297932,0.03648682682043148,3,34,1550,0.0001167269440059888,0.05582312272665291,0.5381796186321581,COMPLETE
