number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eta,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
17,0.9448063472885031,2026-04-09 10:30:56.788645,2026-04-09 10:30:58.690281,0 days 00:00:01.901636,0.6156139635186049,0.032423643331646254,3,38,1600,0.00017813166592863308,0.0509364479233681,0.5098198017102642,COMPLETE
18,0.9444479600856224,2026-04-09 10:30:58.691310,2026-04-09 10:31:00.259288,0 days 00:00:01.567978,0.6411130668706365,0.03315572684236907,4,40,1600,0.0002727962923736777,0.005588552900633901,0.6210824457237761,COMPLETE
19,0.9436332950767721,2026-04-09 10:31:00.260055,2026-04-09 10:31:01.000842,0 days 00:00:00.740787,0.6103859662303838,0.11325840892235865,3,38,1550,8.583558240513832e-05,0.21956774205104995,0.49576917169843426,COMPLETE
20,0.9444197978871385,2026-04-09 10:31:01.001111,2026-04-09 10:31:03.266983,0 days 00:00:02.265872,0.5315348424171112,0.023028761521729616,5,30,1350,4.2830307434474764e-05,5.374902692211611,0.6674829487379157,COMPLETE
21,0.9424135207962365,2026-04-09 10:31:03.267258,2026-04-09 10:31:03.951771,0 days 00:00:00.684513,0.6816877714351266,0.10631932942271861,3,18,1600,6.805538179953109e-07,0.049226309941907735,0.5019032553420228,COMPLETE
22,0.9446325297907215,2026-04-09 10:31:03.952054,2026-04-09 10:31:06.472057,0 days 00:00:02.520003,0.45125243813890203,0.015460535668066785,3,41,1500,0.00025432624487844313,0.0024611502874791152,0.5448467814608083,COMPLETE
23,0.9442062936243767,2026-04-09 10:31:06.472350,2026-04-09 10:31:09.954635,0 days 00:00:03.482285,0.7822808269569079,0.004401215355832244,4,28,1700,0.005465522297671461,0.11873432633415154,0.4640658804691648,COMPLETE
24,0.9448970275759307,2026-04-09 10:31:09.954947,2026-04-09 10:31:11.446754,0 days 00:00:01.491807,0.9038530237898078,0.03411225850324028,3,33,1050,2.5943278622070533e-06,0.010298047446544858,0.6420043848491555,COMPLETE
25,0.9440647830163784,2026-04-09 10:31:11.447059,2026-04-09 10:31:13.363404,0 days 00:00:01.916345,0.5928542535159718,0.029628262590836934,4,34,1050,2.467723761283515e-06,0.003626853276273877,0.6487550539569624,COMPLETE
26,0.9442532085215958,2026-04-09 10:31:13.363689,2026-04-09 10:31:14.348375,0 days 00:00:00.984686,0.9183604973777273,0.05357989639141311,5,45,900,0.0008874363916958105,0.0006268012644489852,0.7226674910899812,COMPLETE
27,0.944578211219802,2026-04-09 10:31:14.348650,2026-04-09 10:31:14.988502,0 days 00:00:00.639852,0.3059720404321472,0.10637803257670801,3,37,1200,5.9708266906149754e-05,0.5749794593012986,0.5600143111271374,COMPLETE
28,0.9447309269405648,2026-04-09 10:31:14.988770,2026-04-09 10:31:16.038999,0 days 00:00:01.050229,0.6585896422113034,0.04437324704478948,4,44,1300,0.030255241530960916,0.012500091067571752,0.7684425461340478,COMPLETE
29,0.9439165080679186,2026-04-09 10:31:16.039269,2026-04-09 10:31:17.326577,0 days 00:00:01.287308,0.40560667799315586,0.022519357163392987,3,33,750,1.6407553244392599e-07,0.4676428144716388,0.6149577903091002,COMPLETE
