threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8469,0.42,0.9469,0.8342,0.5819,0.7811,1400,0.2537
0.11,0.8531,0.43,0.9404,0.842,0.5902,0.7824,1358,0.2461
0.12,0.8587,0.4399,0.9372,0.8487,0.5988,0.7859,1323,0.2397
0.13,0.8632,0.448,0.9291,0.8548,0.6045,0.784,1288,0.2334
0.14,0.8686,0.4585,0.9243,0.8616,0.6129,0.7859,1252,0.2269
0.15,0.8724,0.4661,0.9195,0.8665,0.6186,0.786,1225,0.222
0.16,0.8777,0.4772,0.9114,0.8734,0.6265,0.7849,1186,0.2149
0.17,0.8804,0.4831,0.9002,0.8779,0.6288,0.7781,1157,0.2096
0.18,0.8824,0.4877,0.8953,0.8808,0.6315,0.7761,1140,0.2066
0.19,0.8858,0.4959,0.8857,0.8859,0.6358,0.7715,1109,0.2009
0.2,0.8884,0.5023,0.8776,0.8898,0.6389,0.7674,1085,0.1966
0.21,0.8904,0.5076,0.8631,0.8938,0.6392,0.757,1056,0.1913
0.22,0.8922,0.5125,0.8551,0.8969,0.6409,0.752,1036,0.1877
0.23,0.8947,0.5197,0.8486,0.9006,0.6446,0.7492,1014,0.1837
0.24,0.8978,0.5289,0.8406,0.9051,0.6493,0.7456,987,0.1788
0.25,0.8993,0.5337,0.8277,0.9083,0.649,0.736,963,0.1745
0.26,0.9,0.5365,0.8164,0.9106,0.6475,0.727,945,0.1712
0.27,0.9029,0.5461,0.81,0.9147,0.6524,0.7246,921,0.1669
0.28,0.9049,0.5535,0.8003,0.9181,0.6544,0.7185,898,0.1627
0.29,0.9058,0.5571,0.7939,0.92,0.6547,0.7138,885,0.1604
0.3,0.9061,0.5591,0.7842,0.9216,0.6528,0.7058,871,0.1578
0.31,0.9065,0.5615,0.7713,0.9236,0.6499,0.695,853,0.1546
0.32,0.9067,0.564,0.752,0.9263,0.6446,0.6783,828,0.15
0.33,0.9074,0.5686,0.7343,0.9294,0.6409,0.6637,802,0.1453
0.34,0.9083,0.5727,0.7295,0.931,0.6416,0.6605,791,0.1433
0.35,0.9083,0.575,0.7101,0.9334,0.6354,0.6436,767,0.139
0.36,0.9105,0.5852,0.7021,0.9369,0.6384,0.639,745,0.135
0.37,0.9114,0.5904,0.694,0.939,0.638,0.633,730,0.1323
0.38,0.9123,0.5963,0.6828,0.9414,0.6366,0.6242,711,0.1288
0.39,0.9118,0.5963,0.6683,0.9426,0.6302,0.6109,696,0.1261
0.4,0.9134,0.6056,0.6602,0.9455,0.6317,0.6057,677,0.1227
0.41,0.9148,0.6139,0.6554,0.9477,0.634,0.6031,663,0.1201
0.42,0.9145,0.6151,0.6409,0.9492,0.6278,0.5901,647,0.1172
0.43,0.9138,0.616,0.62,0.951,0.618,0.571,625,0.1132
0.44,0.9159,0.6298,0.6135,0.9543,0.6215,0.5678,605,0.1096
0.45,0.9157,0.6313,0.6039,0.9553,0.6173,0.5592,594,0.1076
0.46,0.9167,0.6415,0.5878,0.9584,0.6134,0.5461,569,0.1031
0.47,0.9167,0.6477,0.5684,0.9608,0.6055,0.5292,545,0.0987
0.48,0.9181,0.6622,0.5556,0.9641,0.6042,0.5196,521,0.0944
0.49,0.9185,0.6707,0.5411,0.9663,0.5989,0.5074,501,0.0908
0.5,0.9179,0.6765,0.5185,0.9686,0.5871,0.4871,476,0.0862
0.51,0.9168,0.6769,0.4992,0.9698,0.5746,0.469,458,0.083
0.52,0.917,0.6831,0.4895,0.9712,0.5704,0.4607,445,0.0806
0.53,0.9186,0.7009,0.4831,0.9739,0.572,0.457,428,0.0776
0.54,0.9186,0.7077,0.4718,0.9753,0.5662,0.4471,414,0.075
0.55,0.9181,0.7107,0.4589,0.9763,0.5577,0.4353,401,0.0727
0.56,0.9172,0.7103,0.4461,0.9769,0.548,0.423,390,0.0707
0.57,0.9165,0.7128,0.4316,0.978,0.5376,0.4095,376,0.0681
0.58,0.9167,0.7255,0.4171,0.98,0.5297,0.3971,357,0.0647
0.59,0.9161,0.727,0.4074,0.9806,0.5222,0.388,348,0.0631
0.6,0.9159,0.7343,0.3961,0.9818,0.5146,0.378,335,0.0607
0.61,0.9154,0.7437,0.3784,0.9835,0.5016,0.3619,316,0.0573
0.62,0.9148,0.7492,0.3655,0.9845,0.4913,0.35,303,0.0549
0.63,0.9145,0.756,0.3543,0.9855,0.4825,0.3398,291,0.0527
0.64,0.9141,0.7653,0.3414,0.9867,0.4722,0.3281,277,0.0502
0.65,0.9118,0.7538,0.3205,0.9867,0.4497,0.3072,264,0.0478
0.66,0.9116,0.7649,0.3092,0.988,0.4404,0.2971,251,0.0455
0.67,0.9107,0.7735,0.2915,0.9892,0.4234,0.2806,234,0.0424
0.68,0.9103,0.7812,0.2818,0.99,0.4142,0.2718,224,0.0406
0.69,0.9096,0.785,0.2705,0.9906,0.4024,0.2611,214,0.0388
0.7,0.9081,0.785,0.2528,0.9912,0.3825,0.244,200,0.0362
0.71,0.9076,0.7968,0.2399,0.9922,0.3688,0.2322,187,0.0339
0.72,0.9069,0.7956,0.2319,0.9924,0.3591,0.2243,181,0.0328
0.73,0.9063,0.7989,0.2238,0.9929,0.3497,0.2167,174,0.0315
0.74,0.906,0.811,0.2142,0.9937,0.3389,0.2078,164,0.0297
0.75,0.9045,0.8052,0.1997,0.9939,0.32,0.1936,154,0.0279
0.76,0.9045,0.8133,0.1965,0.9943,0.3165,0.1907,150,0.0272
0.77,0.9027,0.8088,0.1771,0.9947,0.2906,0.1718,136,0.0246
0.78,0.9011,0.7953,0.1626,0.9947,0.2701,0.1573,127,0.023
0.79,0.8998,0.7881,0.1498,0.9949,0.2517,0.1447,118,0.0214
0.8,0.8991,0.7857,0.1417,0.9951,0.2401,0.1368,112,0.0203
0.81,0.8978,0.7767,0.1288,0.9953,0.221,0.1241,103,0.0187
0.82,0.8965,0.7717,0.1143,0.9957,0.1992,0.11,92,0.0167
0.83,0.8949,0.747,0.0998,0.9957,0.1761,0.0956,83,0.015
0.84,0.8936,0.7429,0.0837,0.9963,0.1505,0.0801,70,0.0127
0.85,0.8933,0.75,0.0773,0.9967,0.1401,0.074,64,0.0116
0.86,0.8929,0.7679,0.0692,0.9973,0.127,0.0666,56,0.0101
0.87,0.8926,0.7593,0.066,0.9973,0.1215,0.0634,54,0.0098
0.88,0.8926,0.78,0.0628,0.9978,0.1162,0.0606,50,0.0091
0.89,0.8909,0.7568,0.0451,0.9982,0.0851,0.0433,37,0.0067
0.9,0.8897,0.7143,0.0322,0.9984,0.0616,0.0306,28,0.0051
