threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.44,0.9141,0.6227,0.6006,0.9539,0.6115,0.5545,599,0.1085
0.45,0.9143,0.6276,0.5862,0.9559,0.6062,0.5421,580,0.1051
0.46,0.9145,0.63,0.5813,0.9567,0.6047,0.538,573,0.1038
0.47,0.9168,0.6489,0.5684,0.961,0.606,0.5294,544,0.0986
0.48,0.917,0.657,0.5491,0.9637,0.5982,0.5128,519,0.094
0.49,0.9165,0.6594,0.533,0.9651,0.5895,0.4981,502,0.091
0.5,0.9174,0.6715,0.5201,0.9677,0.5862,0.4879,481,0.0872
0.51,0.9176,0.6789,0.5072,0.9696,0.5806,0.4768,464,0.0841
0.52,0.9177,0.6851,0.4976,0.971,0.5765,0.4686,451,0.0817
0.53,0.9165,0.6869,0.4734,0.9726,0.5605,0.4461,428,0.0776
0.54,0.9152,0.688,0.4509,0.9741,0.5447,0.425,407,0.0737
0.55,0.9157,0.7021,0.4364,0.9765,0.5382,0.4129,386,0.0699
0.56,0.9159,0.7151,0.4203,0.9788,0.5294,0.3991,365,0.0661
0.57,0.9143,0.7164,0.3945,0.9802,0.5088,0.3747,342,0.062
0.58,0.9134,0.7214,0.3752,0.9816,0.4936,0.3568,323,0.0585
0.59,0.9128,0.7273,0.3607,0.9829,0.4822,0.3436,308,0.0558
0.6,0.9127,0.7388,0.3462,0.9845,0.4715,0.3307,291,0.0527
0.61,0.9125,0.7482,0.3349,0.9857,0.4627,0.3207,278,0.0504
0.62,0.9127,0.7704,0.3188,0.988,0.451,0.3068,257,0.0466
0.63,0.9121,0.7742,0.3092,0.9886,0.4419,0.2977,248,0.0449
0.64,0.9116,0.783,0.2963,0.9896,0.4299,0.2859,235,0.0426
0.65,0.9105,0.7848,0.2818,0.9902,0.4147,0.272,223,0.0404
0.66,0.9098,0.786,0.2721,0.9906,0.4043,0.2628,215,0.039
0.67,0.9096,0.7933,0.2657,0.9912,0.3981,0.2569,208,0.0377
0.68,0.9101,0.8109,0.2625,0.9922,0.3966,0.2547,201,0.0364
0.69,0.9096,0.8211,0.2512,0.9931,0.3847,0.2443,190,0.0344
0.7,0.9087,0.8162,0.2432,0.9931,0.3747,0.2362,185,0.0335
0.71,0.9076,0.8208,0.2287,0.9937,0.3577,0.2223,173,0.0313
0.72,0.9065,0.8221,0.2158,0.9941,0.3418,0.2099,163,0.0295
0.73,0.9051,0.8129,0.2029,0.9941,0.3247,0.197,155,0.0281
0.74,0.9029,0.7972,0.1836,0.9941,0.2984,0.1777,143,0.0259
0.75,0.9025,0.8074,0.1755,0.9947,0.2884,0.1702,135,0.0245
0.76,0.9016,0.8095,0.1643,0.9951,0.2731,0.1594,126,0.0228
0.77,0.9009,0.8083,0.1562,0.9953,0.2618,0.1515,120,0.0217
0.78,0.9007,0.8288,0.1481,0.9961,0.2514,0.1443,111,0.0201
0.79,0.8985,0.8081,0.1288,0.9961,0.2222,0.1249,99,0.0179
0.8,0.8978,0.8065,0.1208,0.9963,0.2101,0.1171,93,0.0169
0.81,0.8976,0.8333,0.1127,0.9971,0.1986,0.1099,84,0.0152
0.82,0.896,0.8133,0.0982,0.9971,0.1753,0.0954,75,0.0136
0.83,0.8947,0.803,0.0853,0.9973,0.1543,0.0827,66,0.012
0.84,0.8938,0.7966,0.0757,0.9976,0.1382,0.0732,59,0.0107
0.85,0.8922,0.76,0.0612,0.9976,0.1133,0.0587,50,0.0091
0.86,0.8911,0.7381,0.0499,0.9978,0.0935,0.0477,42,0.0076
0.87,0.89,0.6944,0.0403,0.9978,0.0761,0.038,36,0.0065
0.88,0.8898,0.7241,0.0338,0.9984,0.0646,0.0322,29,0.0053
0.89,0.8891,0.68,0.0274,0.9984,0.0526,0.0257,25,0.0045
0.9,0.8884,0.6923,0.0145,0.9992,0.0284,0.0137,13,0.0024
