threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8409,0.4102,0.9452,0.8277,0.5721,0.7729,1431,0.2593
0.11,0.8476,0.4207,0.9404,0.8359,0.5814,0.7763,1388,0.2515
0.12,0.8563,0.4356,0.9372,0.8461,0.5948,0.7833,1336,0.2421
0.13,0.8612,0.4443,0.9308,0.8524,0.6015,0.7831,1301,0.2357
0.14,0.867,0.4553,0.9275,0.8593,0.6108,0.7869,1265,0.2292
0.15,0.8723,0.4657,0.9179,0.8665,0.6179,0.7844,1224,0.2218
0.16,0.877,0.4757,0.913,0.8724,0.6255,0.7854,1192,0.216
0.17,0.8804,0.4832,0.905,0.8773,0.63,0.7823,1163,0.2107
0.18,0.8829,0.489,0.8953,0.8814,0.6325,0.7767,1137,0.206
0.19,0.8857,0.4955,0.8889,0.8853,0.6363,0.7741,1114,0.2018
0.2,0.8878,0.5009,0.8728,0.8898,0.6365,0.7625,1082,0.1961
0.21,0.8891,0.5042,0.8663,0.892,0.6374,0.7583,1067,0.1933
0.22,0.8916,0.511,0.8567,0.8961,0.6402,0.7528,1041,0.1886
0.23,0.894,0.5178,0.8438,0.9004,0.6418,0.7442,1012,0.1834
0.24,0.8958,0.5231,0.8374,0.9032,0.644,0.7406,994,0.1801
0.25,0.8965,0.5256,0.8261,0.9055,0.6425,0.7316,976,0.1768
0.26,0.8994,0.5349,0.8148,0.9102,0.6458,0.725,946,0.1714
0.27,0.9009,0.5405,0.7955,0.9143,0.6436,0.7097,914,0.1656
0.28,0.902,0.5452,0.7762,0.9179,0.6405,0.6941,884,0.1602
0.29,0.9034,0.5507,0.7697,0.9204,0.642,0.6901,868,0.1573
0.3,0.9045,0.5553,0.7601,0.9228,0.6417,0.6829,850,0.154
0.31,0.9052,0.5589,0.7488,0.9251,0.6401,0.6739,832,0.1508
0.32,0.906,0.563,0.7343,0.9277,0.6373,0.662,810,0.1468
0.33,0.9061,0.5648,0.723,0.9294,0.6342,0.6524,795,0.144
0.34,0.9061,0.5658,0.7134,0.9306,0.6311,0.6439,783,0.1419
0.35,0.9076,0.5722,0.7085,0.9328,0.6331,0.6414,769,0.1393
0.36,0.9089,0.5789,0.6973,0.9357,0.6326,0.633,748,0.1355
0.37,0.9103,0.5854,0.6957,0.9375,0.6358,0.6332,738,0.1337
0.38,0.9109,0.589,0.6876,0.9392,0.6345,0.6268,725,0.1314
0.39,0.9098,0.5885,0.6586,0.9416,0.6216,0.6002,695,0.1259
0.4,0.9105,0.5941,0.6457,0.9441,0.6188,0.5898,675,0.1223
0.41,0.9119,0.6034,0.6345,0.9471,0.6185,0.5816,653,0.1183
0.42,0.9123,0.6079,0.6216,0.9492,0.6146,0.5707,635,0.1151
0.43,0.913,0.6143,0.6103,0.9514,0.6123,0.5617,617,0.1118
