model,threshold,split,roc_auc,gini,ks_statistic,pr_auc,accuracy,precision,recall,f1,n_samples,n_positive,positive_rate
xgb,0.19,train,0.9523,0.9046,0.7838,0.6986,0.8904,0.5073,0.8771,0.6428,22076,4291,0.1944
xgb,0.19,val,0.9472,0.8944,0.7882,0.6543,0.8857,0.4955,0.8889,0.6363,5519,1114,0.2018
xgb,0.19,test,,,,,,,,,13593,2683,0.1974
