feature,importance_pct
was_contacted,26.22
duration,20.22
euribor3m,15.77
pdays,7.84
month,6.82
cons.price.idx,5.01
contact,4.69
cons.conf.idx,3.9
default,2.46
previous,2.07
education,1.76
age,1.68
campaign,1.56
