number,value,datetime_start,datetime_complete,duration,params_kernel_name,params_max_iter_predict,params_n_restarts,params_n_train_samples,state
0,0.9179385056120923,2026-04-09 11:11:02.418008,2026-04-09 11:11:09.531999,0 days 00:00:07.113991,matern_1.5,150,3,1000,COMPLETE
1,0.9167299419962938,2026-04-09 11:11:09.532779,2026-04-09 11:11:13.454101,0 days 00:00:03.921322,matern_2.5,150,1,1000,COMPLETE
2,0.9209335177826761,2026-04-09 11:11:13.454605,2026-04-09 11:11:56.478768,0 days 00:00:43.024163,matern_2.5,50,3,2000,COMPLETE
3,0.9224678893687575,2026-04-09 11:11:56.479400,2026-04-09 11:16:03.868430,0 days 00:04:07.389030,rbf+white,200,3,3000,COMPLETE
4,0.9167299419962938,2026-04-09 11:16:03.868956,2026-04-09 11:16:10.905777,0 days 00:00:07.036821,matern_2.5,100,3,1000,COMPLETE
5,0.9191951218754779,2026-04-09 11:16:10.906033,2026-04-09 11:17:56.408200,0 days 00:01:45.502167,rational_quadratic,200,3,2500,COMPLETE
6,0.9204207000289925,2026-04-09 11:17:56.408934,2026-04-09 11:18:07.361268,0 days 00:00:10.952334,matern_1.5,200,1,1500,COMPLETE
7,0.9300311953326852,2026-04-09 11:18:07.361721,2026-04-09 11:22:12.185371,0 days 00:04:04.823650,matern_2.5+white,50,3,3000,COMPLETE
8,0.9204207000289925,2026-04-09 11:22:12.186056,2026-04-09 11:22:18.531174,0 days 00:00:06.345118,matern_1.5,200,0,1500,COMPLETE
9,0.9191951218754779,2026-04-09 11:22:18.531413,2026-04-09 11:24:05.123632,0 days 00:01:46.592219,rational_quadratic,100,3,2500,COMPLETE
10,0.9300311953326852,2026-04-09 11:24:05.123893,2026-04-09 11:26:36.005351,0 days 00:02:30.881458,matern_2.5+white,50,2,3000,COMPLETE
11,0.9300311953326852,2026-04-09 11:26:36.005877,2026-04-09 11:29:10.188048,0 days 00:02:34.182171,matern_2.5+white,50,2,3000,COMPLETE
12,0.9300311953326852,2026-04-09 11:29:10.188682,2026-04-09 11:31:42.894373,0 days 00:02:32.705691,matern_2.5+white,50,2,3000,COMPLETE
13,0.9302881012035589,2026-04-09 11:31:42.895031,2026-04-09 11:32:44.032627,0 days 00:01:01.137596,rbf,100,2,2500,COMPLETE
14,0.9302881012035589,2026-04-09 11:32:44.032886,2026-04-09 11:33:44.678939,0 days 00:01:00.646053,rbf,100,2,2500,COMPLETE
15,0.9302881012035589,2026-04-09 11:33:44.679211,2026-04-09 11:34:26.375544,0 days 00:00:41.696333,rbf,100,1,2500,COMPLETE
16,0.9202549140609171,2026-04-09 11:34:26.375803,2026-04-09 11:34:46.134507,0 days 00:00:19.758704,rbf,150,2,2000,COMPLETE
17,0.9302881012035589,2026-04-09 11:34:46.134776,2026-04-09 11:35:11.097859,0 days 00:00:24.963083,rbf,100,0,2500,COMPLETE
18,0.9202549140609171,2026-04-09 11:35:11.098111,2026-04-09 11:35:30.884748,0 days 00:00:19.786637,rbf,100,2,2000,COMPLETE
19,0.9302881012035589,2026-04-09 11:35:30.885005,2026-04-09 11:36:12.738000,0 days 00:00:41.852995,rbf,150,1,2500,COMPLETE
20,0.9202553660880826,2026-04-09 11:36:12.739225,2026-04-09 11:37:02.947808,0 days 00:00:50.208583,rbf+white,100,2,2000,COMPLETE
21,0.9302881012035589,2026-04-09 11:37:02.948061,2026-04-09 11:37:44.209082,0 days 00:00:41.261021,rbf,100,1,2500,COMPLETE
22,0.9302881012035589,2026-04-09 11:37:44.209350,2026-04-09 11:38:25.737690,0 days 00:00:41.528340,rbf,100,1,2500,COMPLETE
23,0.9302881012035589,2026-04-09 11:38:25.737943,2026-04-09 11:38:50.427211,0 days 00:00:24.689268,rbf,100,0,2500,COMPLETE
24,0.9202549140609171,2026-04-09 11:38:50.427461,2026-04-09 11:39:10.086422,0 days 00:00:19.658961,rbf,150,2,2000,COMPLETE
25,0.9302881012035589,2026-04-09 11:39:10.086683,2026-04-09 11:39:51.160547,0 days 00:00:41.073864,rbf,100,1,2500,COMPLETE
26,0.9202309261415147,2026-04-09 11:39:51.160811,2026-04-09 11:40:13.732629,0 days 00:00:22.571818,rbf,150,2,1500,COMPLETE
27,0.9202549140609171,2026-04-09 11:40:13.732955,2026-04-09 11:40:28.837406,0 days 00:00:15.104451,rbf,100,1,2000,COMPLETE
28,0.9191951218754779,2026-04-09 11:40:28.837650,2026-04-09 11:42:01.606034,0 days 00:01:32.768384,rational_quadratic,50,2,2500,COMPLETE
29,0.9224678893687575,2026-04-09 11:42:01.606550,2026-04-09 11:43:52.677857,0 days 00:01:51.071307,rbf+white,150,1,3000,COMPLETE
